date_time,test_path,k_knn,level,pairwise,bcubed,nmi,gt_cluster,pred_cluster,h_score,c-score,v_meansure
24/11/2022 08:03:30,/content/drive/MyDrive/KLTN_DATA/dgl/examples/pytorch/hilander/data/subcenter_arcface_deepglint_imdb_features.pkl,20,15,"{'ave_pre:': 0.4203, 'ave_rec:': 0.736, 'fscore:': 0.5351}","{'ave_pre:': 0.7848, 'ave_rec:': 0.7462, 'fscore:': 0.765}",0.9404,128338,50289,0.9439509107150365,0.9368342728992911,0.9403791276076788
24/11/2022 08:23:38,/content/drive/MyDrive/KLTN_DATA/dgl/examples/pytorch/hilander/data/subcenter_arcface_deepglint_imdb_features.pkl,20,15,"{'ave_pre:': 0.2822, 'ave_rec:': 0.7337, 'fscore:': 0.4076}","{'ave_pre:': 0.7851, 'ave_rec:': 0.7456, 'fscore:': 0.7648}",0.9402,128553,50289,0.9434494333990497,0.9369271707946771,0.9401769905570938
24/11/2022 08:40:59,/content/drive/MyDrive/KLTN_DATA/dgl/examples/pytorch/hilander/data/subcenter_arcface_deepglint_imdb_features.pkl,20,15,"{'ave_pre:': 0.466, 'ave_rec:': 0.7372, 'fscore:': 0.571}","{'ave_pre:': 0.7863, 'ave_rec:': 0.7462, 'fscore:': 0.7657}",0.9406,128373,50289,0.9444510109298454,0.9368107114572696,0.9406153465590609
24/11/2022 08:56:31,/content/drive/MyDrive/KLTN_DATA/dgl/examples/pytorch/hilander/data/subcenter_arcface_deepglint_imdb_features.pkl,20,15,"{'ave_pre:': 0.2614, 'ave_rec:': 0.7346, 'fscore:': 0.3856}","{'ave_pre:': 0.7846, 'ave_rec:': 0.746, 'fscore:': 0.7649}",0.9401,128331,50289,0.9430969092136727,0.9370907205693452,0.9400842216196833
24/11/2022 09:14:13,/content/drive/MyDrive/KLTN_DATA/dgl/examples/pytorch/hilander/data/subcenter_arcface_deepglint_imdb_features.pkl,20,15,"{'ave_pre:': 0.3841, 'ave_rec:': 0.7358, 'fscore:': 0.5047}","{'ave_pre:': 0.7849, 'ave_rec:': 0.7462, 'fscore:': 0.765}",0.9403,128499,50289,0.9437628020627283,0.9368680183784343,0.9403027713651672
24/11/2022 09:30:02,/content/drive/MyDrive/KLTN_DATA/dgl/examples/pytorch/hilander/data/subcenter_arcface_deepglint_imdb_features.pkl,20,15,"{'ave_pre:': 0.3889, 'ave_rec:': 0.7303, 'fscore:': 0.5075}","{'ave_pre:': 0.7864, 'ave_rec:': 0.7446, 'fscore:': 0.765}",0.9403,128740,50289,0.9440479740636359,0.9366509281221815,0.9403349042963438
24/11/2022 09:45:29,/content/drive/MyDrive/KLTN_DATA/dgl/examples/pytorch/hilander/data/subcenter_arcface_deepglint_imdb_features.pkl,20,15,"{'ave_pre:': 0.2938, 'ave_rec:': 0.7324, 'fscore:': 0.4194}","{'ave_pre:': 0.7855, 'ave_rec:': 0.7457, 'fscore:': 0.7651}",0.9403,128682,50289,0.9436419437036208,0.9369995173248489,0.9403089999879458
24/11/2022 10:02:23,/content/drive/MyDrive/KLTN_DATA/dgl/examples/pytorch/hilander/data/subcenter_arcface_deepglint_imdb_features.pkl,20,15,"{'ave_pre:': 0.3876, 'ave_rec:': 0.7356, 'fscore:': 0.5077}","{'ave_pre:': 0.7856, 'ave_rec:': 0.7461, 'fscore:': 0.7653}",0.9404,128270,50289,0.9439912997301391,0.9368712043958982,0.9404177753316102
24/11/2022 10:17:56,/content/drive/MyDrive/KLTN_DATA/dgl/examples/pytorch/hilander/data/subcenter_arcface_deepglint_imdb_features.pkl,20,15,"{'ave_pre:': 0.352, 'ave_rec:': 0.7377, 'fscore:': 0.4766}","{'ave_pre:': 0.7859, 'ave_rec:': 0.7465, 'fscore:': 0.7657}",0.9402,128422,50289,0.9435384706982574,0.9369648423722765,0.9402401669013303
24/11/2022 10:34:31,/content/drive/MyDrive/KLTN_DATA/dgl/examples/pytorch/hilander/data/subcenter_arcface_deepglint_imdb_features.pkl,15,15,"{'ave_pre:': 0.4916, 'ave_rec:': 0.7327, 'fscore:': 0.5884}","{'ave_pre:': 0.8201, 'ave_rec:': 0.7504, 'fscore:': 0.7837}",0.9458,127482,50289,0.9531626383300595,0.9385810040432901,0.9458156232818132
