date_time,k_knn,train_path,test_path,pairwise,bcubed,nmi,gt_cluster,pred_cluster,h_score,c-score,v_meansure
18/11/2022 03:11:20,10,data/subcenter_arcface_deepglint_train_1_in_10_recreated.pkl,/content/drive/MyDrive/KLTN_DATA/dgl/examples/pytorch/hilander/data/subcenter_arcface_deepglint_imdb_features_sampled_as_deepglint_1_in_10.pkl,"{'ave_pre:': 0.0002, 'ave_rec:': 0.8409, 'fscore:': 0.0004}","{'ave_pre:': 0.0783, 'ave_rec:': 0.86, 'fscore:': 0.1436}",0.1451,37136,18084,0.08151009987053316,0.6612100667747042,0.1451294875205706
18/11/2022 06:36:42,10,data/subcenter_arcface_deepglint_train_1_in_10_recreated.pkl,/content/drive/MyDrive/KLTN_DATA/dgl/examples/pytorch/hilander/data/subcenter_arcface_deepglint_imdb_features_sampled_as_deepglint_1_in_10.pkl,"{'ave_pre:': 0.0002, 'ave_rec:': 0.845, 'fscore:': 0.0004}","{'ave_pre:': 0.0772, 'ave_rec:': 0.8625, 'fscore:': 0.1417}",0.1431,36698,18084,0.0802261142403812,0.6616552432720364,0.14310112687688373
